english,spanish_sentence,POS,CEFR,family_size,frequency,english_example
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,3,1064,Burn-down chart shows progress
big picture,La visión general guía decisiones,NOUN,B2,4,2346,Big picture guides decisions
build,Construir el entregable requiere recursos,VERB,B1,5,4353,Build deliverable requires resources
business analysis,El análisis de negocio define requisitos,NOUN,B2,3,3186,Business analysis defines requirements
baseline,La línea base del proyecto fue aprobada,NOUN,B2,5,2936,Project baseline approved
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,3,2202,Brainstorm identified risks
bring forward,Se adelantó la reunión crítica,VERB,B2,2,1609,Critical meeting brought forward
backlog,El backlog del sprint está priorizado,NOUN,B2,3,2363,Sprint backlog prioritized
big picture,La visión general guía decisiones,NOUN,B2,3,2393,Big picture guides decisions
business process,El proceso de negocio se optimizó,NOUN,B2,4,3545,Business process optimized
benefit,Los beneficios del proyecto superan costos,NOUN,B1,3,4295,Project benefits exceed costs
briefing,El briefing del proyecto fue claro,NOUN,B2,3,2894,Project briefing was clear
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,3,3059,Best practices improve efficiency
business justification,La justificación del negocio es sólida,NOUN,C1,4,1038,Business justification is solid
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2942,Project briefing was clear
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1656,Business continuity is priority
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,2,3976,Business need drives project
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,4,1327,Balanced scorecard tracks KPIs
big picture,La visión general guía decisiones,NOUN,B2,2,2351,Big picture guides decisions
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,2,1222,Balanced scorecard tracks KPIs
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,2,3045,Best practices improve efficiency
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2895,Project briefing was clear
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,4,978,Burn-down chart shows progress
business process,El proceso de negocio se optimizó,NOUN,B2,5,3591,Business process optimized
business objective,El objetivo de negocio mide éxito,NOUN,B2,4,2225,Business objective measures success
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,4,1078,Burn-down chart shows progress
benefit,Los beneficios del proyecto superan costos,NOUN,B1,5,4493,Project benefits exceed costs
business case,El caso de negocio justificó la inversión,NOUN,B2,4,3058,Business case justified investment
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,3,1958,Burn rate becoming critical
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,2,3099,Best practices improve efficiency
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,4,4040,Business requirement changed scope
benefit,Los beneficios del proyecto superan costos,NOUN,B1,4,4491,Project benefits exceed costs
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2949,Bottleneck delayed deliverable
business value,El valor de negocio justifica costos,NOUN,B2,3,4345,Business value justifies costs
business process,El proceso de negocio se optimizó,NOUN,B2,3,3551,Business process optimized
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,4,1422,Balanced scorecard tracks KPIs
breakdown,La descomposición de tareas se completó,NOUN,B2,2,3481,Work breakdown completed
bulletin,El boletín informa cambios del proyecto,NOUN,B2,2,1192,Bulletin informs project changes
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,3,2132,Brainstorm identified risks
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2244,Time buffer saved schedule
blocker,El bloqueador impide el progreso,NOUN,B2,1,1839,Blocker preventing progress
breakdown,La descomposición de tareas se completó,NOUN,B2,3,3550,Work breakdown completed
bring forward,Se adelantó la reunión crítica,VERB,B2,2,1722,Critical meeting brought forward
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,943,Bottom-up estimation detailed
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2468,Sprint backlog prioritized
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2435,Sprint backlog prioritized
business value,El valor de negocio justifica costos,NOUN,B2,3,4438,Business value justifies costs
bottom-up,La estimación bottom-up es detallada,ADJ,C1,2,1106,Bottom-up estimation detailed
breakdown,La descomposición de tareas se completó,NOUN,B2,4,3542,Work breakdown completed
big picture,La visión general guía decisiones,NOUN,B2,2,2472,Big picture guides decisions
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2741,Project briefing was clear
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,2,1058,Burn-down chart shows progress
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,4,1130,Burn-down chart shows progress
benefit,Los beneficios del proyecto superan costos,NOUN,B1,5,4275,Project benefits exceed costs
benefit,Los beneficios del proyecto superan costos,NOUN,B1,4,4299,Project benefits exceed costs
bulletin,El boletín informa cambios del proyecto,NOUN,B2,2,1348,Bulletin informs project changes
build,Construir el entregable requiere recursos,VERB,B1,4,4436,Build deliverable requires resources
business justification,La justificación del negocio es sólida,NOUN,C1,3,908,Business justification is solid
business continuity,La continuidad del negocio es prioridad,NOUN,C1,3,1739,Business continuity is priority
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,3,3176,Best practices improve efficiency
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,1,1712,Brainstorming generated solutions
business justification,La justificación del negocio es sólida,NOUN,C1,4,890,Business justification is solid
business justification,La justificación del negocio es sólida,NOUN,C1,5,911,Business justification is solid
business case,El caso de negocio justificó la inversión,NOUN,B2,4,3180,Business case justified investment
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,1081,Bottom-up estimation detailed
business justification,La justificación del negocio es sólida,NOUN,C1,3,896,Business justification is solid
bottom-up,La estimación bottom-up es detallada,ADJ,C1,2,1153,Bottom-up estimation detailed
business requirement,El requisito de negocio cambió alcance,NOUN,B2,4,2759,Business requirement changed scope
benchmark,El benchmark establece estándares,NOUN,B2,3,1957,Benchmark sets standards
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3861,Business requirement changed scope
baseline,La línea base del proyecto fue aprobada,NOUN,B2,5,2895,Project baseline approved
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,1,2217,Brainstorm identified risks
business analysis,El análisis de negocio define requisitos,NOUN,B2,3,2955,Business analysis defines requirements
bring forward,Se adelantó la reunión crítica,VERB,B2,2,1681,Critical meeting brought forward
business analysis,El análisis de negocio define requisitos,NOUN,B2,3,3044,Business analysis defines requirements
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,1118,Bottom-up estimation detailed
bid,La oferta fue presentada a tiempo,NOUN,B2,4,2103,Bid submitted on time
baseline,La línea base del proyecto fue aprobada,NOUN,B2,4,2916,Project baseline approved
blocker,El bloqueador impide el progreso,NOUN,B2,2,1805,Blocker preventing progress
benefit,Los beneficios del proyecto superan costos,NOUN,B1,3,4360,Project benefits exceed costs
benchmark,El benchmark establece estándares,NOUN,B2,3,1844,Benchmark sets standards
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,4,3864,Business need drives project
bid,La oferta fue presentada a tiempo,NOUN,B2,4,2062,Bid submitted on time
business value,El valor de negocio justifica costos,NOUN,B2,3,4465,Business value justifies costs
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,3,1109,Burn-down chart shows progress
bring forward,Se adelantó la reunión crítica,VERB,B2,4,1633,Critical meeting brought forward
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,3,2956,Bottleneck delayed deliverable
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2934,Business requirement changed scope
backlog,El backlog del sprint está priorizado,NOUN,B2,3,2420,Sprint backlog prioritized
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,994,Bottom-up estimation detailed
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,4,1331,Balanced scorecard tracks KPIs
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2514,Sprint backlog prioritized
business justification,La justificación del negocio es sólida,NOUN,C1,3,1025,Business justification is solid
blocker,El bloqueador impide el progreso,NOUN,B2,2,1664,Blocker preventing progress
baseline,La línea base del proyecto fue aprobada,NOUN,B2,5,2952,Project baseline approved
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,1041,Bottom-up estimation detailed
business case,El caso de negocio justificó la inversión,NOUN,B2,3,3103,Business case justified investment
blocker,El bloqueador impide el progreso,NOUN,B2,2,1604,Blocker preventing progress
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,1,2189,Time buffer saved schedule
business justification,La justificación del negocio es sólida,NOUN,C1,3,1030,Business justification is solid
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,4,3917,Business requirement changed scope
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,3015,Project baseline approved
benchmark,El benchmark establece estándares,NOUN,B2,3,2074,Benchmark sets standards
business objective,El objetivo de negocio mide éxito,NOUN,B2,5,2249,Business objective measures success
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,4,3938,Business requirement changed scope
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,3,1089,Burn-down chart shows progress
business impact,El impacto del negocio justifica inversión,NOUN,B2,3,2350,Business impact justifies investment
bid,La oferta fue presentada a tiempo,NOUN,B2,3,2097,Bid submitted on time
blocker,El bloqueador impide el progreso,NOUN,B2,2,1769,Blocker preventing progress
build,Construir el entregable requiere recursos,VERB,B1,3,4387,Build deliverable requires resources
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,3,1737,Brainstorming generated solutions
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,2,1883,Burn rate becoming critical
business continuity,La continuidad del negocio es prioridad,NOUN,C1,3,1647,Business continuity is priority
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,2,1998,Burn rate becoming critical
briefing,El briefing del proyecto fue claro,NOUN,B2,2,2874,Project briefing was clear
big picture,La visión general guía decisiones,NOUN,B2,2,2467,Big picture guides decisions
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3886,Business requirement changed scope
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2105,Time buffer saved schedule
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,2,3085,Best practices improve efficiency
bid,La oferta fue presentada a tiempo,NOUN,B2,4,2016,Bid submitted on time
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,2,1301,Balanced scorecard tracks KPIs
business objective,El objetivo de negocio mide éxito,NOUN,B2,3,2271,Business objective measures success
business process,El proceso de negocio se optimizó,NOUN,B2,3,3608,Business process optimized
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,3,1832,Brainstorming generated solutions
business analysis,El análisis de negocio define requisitos,NOUN,B2,3,3100,Business analysis defines requirements
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,2,2285,Brainstorm identified risks
business justification,La justificación del negocio es sólida,NOUN,C1,5,972,Business justification is solid
benchmark,El benchmark establece estándares,NOUN,B2,3,1845,Benchmark sets standards
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,3,1788,Brainstorming generated solutions
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,1082,Bottom-up estimation detailed
budget,El presupuesto del proyecto se excedió,NOUN,B1,5,4563,Project budget exceeded
blocker,El bloqueador impide el progreso,NOUN,B2,3,1836,Blocker preventing progress
business case,El caso de negocio justificó la inversión,NOUN,B2,5,2985,Business case justified investment
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,2,950,Burn-down chart shows progress
benchmark,El benchmark establece estándares,NOUN,B2,3,1968,Benchmark sets standards
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,2,1984,Burn rate becoming critical
backlog,El backlog del sprint está priorizado,NOUN,B2,3,2295,Sprint backlog prioritized
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,3,3942,Business need drives project
big picture,La visión general guía decisiones,NOUN,B2,3,2348,Big picture guides decisions
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2176,Time buffer saved schedule
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,3,1828,Burn rate becoming critical
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,3,3080,Best practices improve efficiency
business impact,El impacto del negocio justifica inversión,NOUN,B2,3,2509,Business impact justifies investment
bring forward,Se adelantó la reunión crítica,VERB,B2,4,1677,Critical meeting brought forward
bottom-up,La estimación bottom-up es detallada,ADJ,C1,2,1139,Bottom-up estimation detailed
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1195,Bulletin informs project changes
budget,El presupuesto del proyecto se excedió,NOUN,B1,5,4590,Project budget exceeded
bring forward,Se adelantó la reunión crítica,VERB,B2,3,1716,Critical meeting brought forward
bottom-up,La estimación bottom-up es detallada,ADJ,C1,1,952,Bottom-up estimation detailed
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,1,2025,Burn rate becoming critical
baseline,La línea base del proyecto fue aprobada,NOUN,B2,5,2927,Project baseline approved
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2918,Business requirement changed scope
budget,El presupuesto del proyecto se excedió,NOUN,B1,4,4668,Project budget exceeded
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2450,Sprint backlog prioritized
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,3,2831,Bottleneck delayed deliverable
business value,El valor de negocio justifica costos,NOUN,B2,3,4278,Business value justifies costs
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,1,2180,Brainstorm identified risks
bid,La oferta fue presentada a tiempo,NOUN,B2,4,2028,Bid submitted on time
bring forward,Se adelantó la reunión crítica,VERB,B2,3,1656,Critical meeting brought forward
budget,El presupuesto del proyecto se excedió,NOUN,B1,4,4606,Project budget exceeded
business impact,El impacto del negocio justifica inversión,NOUN,B2,3,2430,Business impact justifies investment
business case,El caso de negocio justificó la inversión,NOUN,B2,5,3122,Business case justified investment
benchmark,El benchmark establece estándares,NOUN,B2,1,1885,Benchmark sets standards
business process,El proceso de negocio se optimizó,NOUN,B2,4,3583,Business process optimized
business continuity,La continuidad del negocio es prioridad,NOUN,C1,3,1631,Business continuity is priority
bid,La oferta fue presentada a tiempo,NOUN,B2,3,2156,Bid submitted on time
business continuity,La continuidad del negocio es prioridad,NOUN,C1,5,1704,Business continuity is priority
backlog,El backlog del sprint está priorizado,NOUN,B2,4,2335,Sprint backlog prioritized
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,2,1411,Balanced scorecard tracks KPIs
business case,El caso de negocio justificó la inversión,NOUN,B2,4,3128,Business case justified investment
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2869,Project briefing was clear
business impact,El impacto del negocio justifica inversión,NOUN,B2,2,2540,Business impact justifies investment
business case,El caso de negocio justificó la inversión,NOUN,B2,4,3127,Business case justified investment
business requirement,El requisito de negocio cambió alcance,NOUN,B2,5,2859,Business requirement changed scope
bid,La oferta fue presentada a tiempo,NOUN,B2,3,2137,Bid submitted on time
bulletin,El boletín informa cambios del proyecto,NOUN,B2,3,1344,Bulletin informs project changes
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,1,2070,Burn rate becoming critical
business impact,El impacto del negocio justifica inversión,NOUN,B2,2,2506,Business impact justifies investment
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,4,1388,Balanced scorecard tracks KPIs
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,2,2278,Time buffer saved schedule
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,3,2954,Bottleneck delayed deliverable
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2871,Business requirement changed scope
build,Construir el entregable requiere recursos,VERB,B1,5,4411,Build deliverable requires resources
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,1,2104,Brainstorm identified risks
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2093,Time buffer saved schedule
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2428,Sprint backlog prioritized
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,1,1907,Burn rate becoming critical
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,2940,Project baseline approved
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,2,2255,Time buffer saved schedule
benchmark,El benchmark establece estándares,NOUN,B2,1,1872,Benchmark sets standards
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1336,Bulletin informs project changes
big picture,La visión general guía decisiones,NOUN,B2,3,2488,Big picture guides decisions
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2304,Sprint backlog prioritized
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,3,1881,Burn rate becoming critical
business analysis,El análisis de negocio define requisitos,NOUN,B2,5,2966,Business analysis defines requirements
business objective,El objetivo de negocio mide éxito,NOUN,B2,3,2300,Business objective measures success
business process,El proceso de negocio se optimizó,NOUN,B2,4,3514,Business process optimized
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3830,Business requirement changed scope
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2833,Bottleneck delayed deliverable
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1851,Business continuity is priority
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2747,Business requirement changed scope
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1721,Business continuity is priority
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2123,Time buffer saved schedule
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,3,1082,Burn-down chart shows progress
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,3,2282,Brainstorm identified risks
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,1,2064,Burn rate becoming critical
big picture,La visión general guía decisiones,NOUN,B2,4,2471,Big picture guides decisions
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,4,3836,Business need drives project
bid,La oferta fue presentada a tiempo,NOUN,B2,4,2021,Bid submitted on time
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3851,Business requirement changed scope
build,Construir el entregable requiere recursos,VERB,B1,4,4333,Build deliverable requires resources
business impact,El impacto del negocio justifica inversión,NOUN,B2,2,2511,Business impact justifies investment
blocker,El bloqueador impide el progreso,NOUN,B2,3,1689,Blocker preventing progress
business impact,El impacto del negocio justifica inversión,NOUN,B2,3,2353,Business impact justifies investment
business analysis,El análisis de negocio define requisitos,NOUN,B2,3,2963,Business analysis defines requirements
business continuity,La continuidad del negocio es prioridad,NOUN,C1,3,1780,Business continuity is priority
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1388,Bulletin informs project changes
build,Construir el entregable requiere recursos,VERB,B1,3,4431,Build deliverable requires resources
business process,El proceso de negocio se optimizó,NOUN,B2,5,3503,Business process optimized
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,3,2163,Brainstorm identified risks
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2813,Bottleneck delayed deliverable
briefing,El briefing del proyecto fue claro,NOUN,B2,2,2843,Project briefing was clear
benefit,Los beneficios del proyecto superan costos,NOUN,B1,4,4419,Project benefits exceed costs
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,1,2298,Time buffer saved schedule
breakdown,La descomposición de tareas se completó,NOUN,B2,2,3460,Work breakdown completed
benchmark,El benchmark establece estándares,NOUN,B2,3,1831,Benchmark sets standards
business process,El proceso de negocio se optimizó,NOUN,B2,3,3625,Business process optimized
business justification,La justificación del negocio es sólida,NOUN,C1,3,1034,Business justification is solid
business requirement,El requisito de negocio cambió alcance,NOUN,B2,4,2911,Business requirement changed scope
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,3,3031,Best practices improve efficiency
benchmark,El benchmark establece estándares,NOUN,B2,2,1958,Benchmark sets standards
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3927,Business requirement changed scope
business process,El proceso de negocio se optimizó,NOUN,B2,3,3408,Business process optimized
budget,El presupuesto del proyecto se excedió,NOUN,B1,4,4697,Project budget exceeded
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,959,Bottom-up estimation detailed
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2943,Project briefing was clear
bring forward,Se adelantó la reunión crítica,VERB,B2,2,1545,Critical meeting brought forward
breakdown,La descomposición de tareas se completó,NOUN,B2,3,3570,Work breakdown completed
big picture,La visión general guía decisiones,NOUN,B2,4,2496,Big picture guides decisions
budget,El presupuesto del proyecto se excedió,NOUN,B1,6,4718,Project budget exceeded
business value,El valor de negocio justifica costos,NOUN,B2,4,4353,Business value justifies costs
bring forward,Se adelantó la reunión crítica,VERB,B2,4,1637,Critical meeting brought forward
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,2,1910,Burn rate becoming critical
business value,El valor de negocio justifica costos,NOUN,B2,3,4348,Business value justifies costs
